Date,forecast
2020-01-01,857.6721219805315
2020-01-02,858.1293320609482
2020-01-03,858.7227489572983
2020-01-04,859.5269018521911
2020-01-05,860.820699012246
2020-01-06,861.4504609801529
2020-01-07,863.4506436702678
2020-01-08,863.9204856550763
2020-01-09,864.2933099086853
2020-01-10,864.8143045350569
2020-01-11,865.5596108692862
2020-01-12,866.8093468362197
2020-01-13,867.4106077158061
2020-01-14,869.3981682460908
2020-01-15,869.8711208954251
2020-01-16,870.2621807936675
2020-01-17,870.815481748514
2020-01-18,871.6056913124676
2020-01-19,872.911072053793
2020-01-20,873.5765301623253
2020-01-21,875.6343740441541
2020-01-22,876.1810162364853
2020-01-23,876.6463474503774
2020-01-24,877.2716053492716
2020-01-25,878.128564123868
2020-01-26,879.4926700759224
2020-01-27,880.2061624173039
2020-01-28,882.2989000806225
2020-01-29,882.8651261308696
2020-01-30,883.3328970046113
2020-01-31,883.9419978049721
2020-02-01,884.7631685691723
2020-02-02,886.0712658416064
2020-02-03,886.7083981640229
2020-02-04,888.7047559820371
2020-02-05,889.1553675629451
2020-02-06,889.4895084562492
2020-02-07,889.9485863178338
2020-02-08,890.6053268768491
2020-02-09,891.7368864837758
2020-02-10,892.1879311686911
2020-02-11,893.99140420086
2020-02-12,894.245215369892
2020-02-13,894.3815812342987
2020-02-14,894.6448399160686
2020-02-15,895.1105679747413
2020-02-16,896.0586265050689
2020-02-17,896.3361780005447
2020-02-18,897.9783974542414
2020-02-19,898.0851122285375
2020-02-20,898.0901010505838
2020-02-21,898.2388765978081
2020-02-22,898.6077798480886
2020-02-23,899.4770137240226
2020-02-24,899.693657697167
2020-02-25,901.2923866886285
2020-02-26,901.3721284121195
2020-02-27,901.3653888961567
2020-02-28,901.5160698159493
2020-02-29,901.8986047890517
2020-03-01,902.7910409871539
2020-03-02,903.0381064313293
2020-03-03,904.6719849230878
2020-03-04,904.7890313263163
2020-03-05,904.819155496852
2020-03-06,905.003697079083
2020-03-07,905.4146169768136
2020-03-08,906.3276306015748
2020-03-09,906.5853221433258
2020-03-10,908.2179608456617
2020-03-11,908.3202512028098
2020-03-12,908.3207447649048
2020-03-13,908.4597353574945
2020-03-14,908.8084633101123
2020-03-15,909.6422537836304
2020-03-16,909.8036286199389
2020-03-17,911.3231130547262
2020-03-18,911.2959697325623
2020-03-19,911.1515883758473
2020-03-20,911.1313536980072
2020-03-21,911.3078180338298
2020-03-22,911.9578047206516
2020-03-23,911.9254826360173
2020-03-24,913.2431342243784
2020-03-25,913.0078504268043
2020-03-26,912.6508817973707
2020-03-27,912.4154692633983
2020-03-28,912.3759817834117
2020-03-29,912.8109876157755
2020-03-30,912.5663001676437
2020-03-31,913.6757211973082
2020-04-01,913.2377150960285
2020-04-02,912.684743716024
2020-04-03,912.2610852591624
2020-04-04,912.0419644185743
2020-04-05,912.3066203157135
2020-04-06,911.9013529361
2020-04-07,912.8602704894578
2020-04-08,912.2819710085897
2020-04-09,911.5988871953168
2020-04-10,911.0551175408625
2020-04-11,910.7255704148139
2020-04-12,910.8890471727817
2020-04-13,910.3913045150085
2020-04-14,911.2658180852909
2020-04-15,910.6104802345293
2020-04-16,909.8569606220575
2020-04-17,909.2485524079377
2020-04-18,908.8593305204594
2020-04-19,908.9672479036583
2020-04-20,908.4172098942179
2020-04-21,909.2418486920631
2020-04-22,908.5382308746603
2020-04-23,907.7372266961493
2020-04-24,907.081364024803
2020-04-25,906.6439935246696
2020-04-26,906.7023911180939
