learning_rate,max_depth,n_estimators,mape,rmse,status
0.05,4,300,1.1157052225791395,11.92981984247165,ok
0.05,4,600,1.134560681965938,12.143251056658707,ok
0.05,6,300,1.162976893698926,12.368568095843134,ok
0.05,6,600,1.2100674946159635,12.747387536293132,ok
0.1,4,300,1.1609222902697978,12.429892330989329,ok
0.1,4,600,1.2030545140547604,12.915722918607466,ok
0.1,6,300,1.230257070302884,13.121370879903585,ok
0.1,6,600,1.2536138688173164,13.339372668982246,ok
