changepoint_prior_scale,seasonality_mode,mape,rmse,status
0.05,additive,1.0013452094922202,10.662760441405622,ok
0.05,multiplicative,1.0036048125081336,10.672165751894289,ok
0.5,additive,1.0000444363102523,10.650752333625835,ok
0.5,multiplicative,1.0015258828481244,10.656586882287234,ok
