learning_rate,n_estimators,num_leaves,mape,rmse,status
0.05,300,31,1.1427254353560963,12.29409552739134,ok
0.05,300,63,1.1800278334211716,12.579671489294588,ok
0.05,600,31,1.1786150061500573,12.602039822902517,ok
0.05,600,63,1.1997334937633446,12.794080187059693,ok
0.1,300,31,1.174469143173028,12.536158484928869,ok
0.1,300,63,1.1861301089993903,12.546180718897988,ok
0.1,600,31,1.2002132469493327,12.808105041838148,ok
0.1,600,63,1.1904603428146874,12.639231289441717,ok
