order,seasonal_order,mape,rmse,status
"(0, 1, 1)","(0, 1, 1, 7)",3.988304637034295,37.903792382411744,ok
"(0, 1, 1)","(1, 1, 0, 7)",22.469849352683735,226.70487061619593,ok
"(0, 1, 1)","(1, 1, 1, 7)",3.975288466818331,37.81408048775353,ok
"(0, 1, 1)","(2, 1, 1, 7)",3.946020562993186,37.54785360541675,ok
"(0, 1, 1)","(2, 1, 2, 7)",4.076823349951656,38.40313995774911,ok
"(1, 1, 0)","(0, 1, 1, 7)",4.104440179420575,38.61377078714416,ok
"(1, 1, 0)","(1, 1, 0, 7)",34.432869089610655,338.8458021602017,ok
"(1, 1, 0)","(1, 1, 1, 7)",4.103926707742491,38.60887520559918,ok
"(1, 1, 0)","(2, 1, 1, 7)",4.090427277498524,38.496798815595696,ok
"(1, 1, 0)","(2, 1, 2, 7)",4.110782655630982,38.66563221296139,ok
"(1, 1, 1)","(0, 1, 1, 7)",4.000972047047962,37.95389905218478,ok
"(1, 1, 1)","(1, 1, 0, 7)",22.45629935139671,226.5771514049276,ok
"(1, 1, 1)","(1, 1, 1, 7)",3.9883263492951966,37.866459107434345,ok
"(1, 1, 1)","(2, 1, 1, 7)",3.96060784289203,37.61717261434341,ok
"(1, 1, 1)","(2, 1, 2, 7)",4.061897333522144,38.268110390921336,ok
"(2, 1, 1)","(0, 1, 1, 7)",4.00566623921755,37.970998436843395,ok
"(2, 1, 1)","(1, 1, 0, 7)",22.25599056367077,224.6847873987435,ok
"(2, 1, 1)","(1, 1, 1, 7)",3.993054392353738,37.88214205625868,ok
"(2, 1, 1)","(2, 1, 1, 7)",3.965796859903794,37.63816121381689,ok
"(2, 1, 1)","(2, 1, 2, 7)",4.0508114668954365,38.163647312773264,ok
"(2, 1, 2)","(0, 1, 1, 7)",9.805418867794677,100.46564381443719,ok
"(2, 1, 2)","(1, 1, 0, 7)",34.164644734615926,344.2703850829564,ok
"(2, 1, 2)","(1, 1, 1, 7)",21.878841312407662,224.4895424217843,ok
"(2, 1, 2)","(2, 1, 1, 7)",4.046410709101859,38.20015481901993,ok
"(2, 1, 2)","(2, 1, 2, 7)",18.967774202870512,189.83061612409915,ok
"(3, 1, 1)","(0, 1, 1, 7)",4.0060358288206945,37.97218614288385,ok
"(3, 1, 1)","(1, 1, 0, 7)",21.828631130705908,220.64637463152278,ok
"(3, 1, 1)","(1, 1, 1, 7)",3.991658358541958,37.87032101925826,ok
"(3, 1, 1)","(2, 1, 1, 7)",3.9658674702469385,37.637728389819934,ok
"(3, 1, 1)","(2, 1, 2, 7)",3.98053258096823,37.78480592198712,ok
