Date,forecast
2020-01-01,857.639165771866
2020-01-02,858.0954027021746
2020-01-03,858.6878036307438
2020-01-04,859.4908895019344
2020-01-05,860.7836613515043
2020-01-06,861.412412058453
2020-01-07,863.4116648507982
2020-01-08,863.8805194998398
2020-01-09,864.2526298170575
2020-01-10,864.7729096133125
2020-01-11,865.517487335969
2020-01-12,866.766568449732
2020-01-13,867.3672148743161
2020-01-14,869.3542626191187
2020-01-15,869.8266590908648
2020-01-16,870.2174439090265
2020-01-17,870.7704702841053
2020-01-18,871.5603867486108
2020-01-19,872.8655375726922
2020-01-20,873.5307901562791
2020-01-21,875.5885092585174
2020-01-22,876.1349580379848
2020-01-23,876.6003480545293
2020-01-24,877.2256334681135
2020-01-25,878.0825673184565
2020-01-26,879.4466762760147
2020-01-27,880.1601602314362
2020-01-28,882.2529347268087
2020-01-29,882.8190944610092
2020-01-30,883.2870184399416
2020-01-31,883.8962106288358
2020-02-01,884.7173928484234
2020-02-02,886.0255054280484
2020-02-03,886.662621390394
2020-02-04,888.6589918765691
2020-02-05,889.1095010519998
2020-02-06,889.4437513714124
2020-02-07,889.9028736554036
2020-02-08,890.5595795852186
2020-02-09,891.6911132366427
2020-02-10,892.1421087472902
2020-02-11,893.9455733198117
2020-02-12,894.1992754282973
2020-02-13,894.3357608218336
2020-02-14,894.5990925362353
2020-02-15,895.0648342754873
2020-02-16,896.0129354895045
2020-02-17,896.2905268554669
2020-02-18,897.9328468449122
2020-02-19,898.039580554205
2020-02-20,898.0448345020492
2020-02-21,898.1938444891679
2020-02-22,898.5629365210394
2020-02-23,899.4323995036667
2020-02-24,899.6492785411499
2020-02-25,901.248309380041
2020-02-26,901.3282747905
2020-02-27,901.3220059656574
2020-02-28,901.4731251985943
2020-02-29,901.8560488154599
2020-03-01,902.7489078960515
2020-03-02,902.9963943107176
2020-03-03,904.6307512334522
2020-03-04,904.7481874893886
2020-03-05,904.7789373777051
2020-03-06,904.9640608180537
2020-03-07,905.375501452371
2020-03-08,906.289058984687
2020-03-09,906.547282166177
2020-03-10,908.1805006161263
2020-03-11,908.2832740404649
2020-03-12,908.2844798800637
2020-03-13,908.4241338250522
2020-03-14,908.7734606162862
2020-03-15,909.6078714048446
2020-03-16,909.7698542571328
2020-03-17,911.2899963565974
2020-03-18,911.2634169872173
2020-03-19,911.119832997494
2020-03-20,911.1003519669035
2020-03-21,911.2775113750785
2020-03-22,911.9282209894385
2020-03-23,911.896616041525
2020-03-24,913.21504073517
2020-03-25,912.9804421465104
2020-03-26,912.624397146484
2020-03-27,912.3898684341198
2020-03-28,912.351208761196
2020-03-29,912.7870712423448
2020-03-30,912.5432338838045
2020-03-31,913.6535583132544
2020-04-01,913.2163630815234
2020-04-02,912.6644343484202
2020-04-03,912.2417700969211
2020-04-04,912.0235768932198
2020-04-05,912.289176914894
2020-04-06,911.8848331126892
2020-04-07,912.8447121397943
2020-04-08,912.2672650066219
2020-04-09,911.5852478141187
2020-04-10,911.0424782220166
2020-04-11,910.7138461709596
2020-04-12,910.8782360881113
2020-04-13,910.3813679707183
2020-04-14,911.256776545331
2020-04-15,910.6022080710472
2020-04-16,909.8496568051925
