Date,forecast
2020-01-01,860.2012618780989
2020-01-02,861.029581227913
2020-01-03,861.632252681934
2020-01-04,862.4452656162675
2020-01-05,863.7547447836725
2020-01-06,864.3950832658429
2020-01-07,866.4125419880352
2020-01-08,866.9095083639577
2020-01-09,867.2889378249827
2020-01-10,867.8226774003447
2020-01-11,868.5802068051521
2020-01-12,869.8489561705153
2020-01-13,870.463672698153
2020-01-14,872.4716664566577
2020-01-15,872.9741435430956
2020-01-16,873.3739558601635
2020-01-17,873.9419975206124
2020-01-18,874.7463046917244
2020-01-19,876.0725612135034
2020-01-20,876.7529156829451
2020-01-21,878.8329510798887
2020-01-22,879.4101652367808
2020-01-23,879.88509498232
2020-01-24,880.5258430873328
2020-01-25,881.3975846861176
2020-01-26,882.783297482991
2020-01-27,883.5120539258219
2020-01-28,885.6277266862221
2020-01-29,886.2246155730361
2020-01-30,886.7019323775462
2020-01-31,887.5307172513621
2020-02-01,887.7935698557415
2020-02-02,889.49200300446
2020-02-03,890.1441076084182
2020-02-04,892.1635491069499
2020-02-05,892.6443870402409
2020-02-06,892.9875650570905
2020-02-07,893.4615697122886
2020-02-08,894.1325975273446
2020-02-09,895.2855626825001
2020-02-10,895.7511530756394
2020-02-11,897.5778115373625
2020-02-12,897.8614551056253
2020-02-13,898.0064813987781
2020-02-14,898.2844149843622
2020-02-15,898.7643371885604
2020-02-16,899.7339773497959
2020-02-17,900.0261092943729
2020-02-18,901.6921434424314
2020-02-19,901.8288803414521
2020-02-20,901.8427810446756
2020-02-21,902.0066390584445
2020-02-22,902.3903197169129
2020-02-23,903.2819892963921
2020-02-24,903.5139121922396
2020-02-25,905.1377185590943
2020-02-26,905.2482593978295
2020-02-27,905.2512091406572
2020-02-28,905.4178305522607
2020-02-29,906.0206756948878
2020-03-01,906.3628129145454
2020-03-02,906.9952766491485
2020-03-03,908.655537336127
2020-03-04,908.8040847500688
2020-03-05,908.844482535794
2020-03-06,909.0455138702198
2020-03-07,909.4726829242009
2020-03-08,910.4098448558345
2020-03-09,910.6839090542064
2020-03-10,912.3435399173402
2020-03-11,912.477273047466
2020-03-12,912.4878153660268
2020-03-13,912.6430039957615
2020-03-14,913.0076524692165
2020-03-15,913.8653358792312
2020-03-16,914.0424942939962
2020-03-17,915.5887912152673
2020-03-18,915.5922970684996
2020-03-19,915.4570721624623
2020-03-20,915.4521556970756
2020-03-21,915.6437120369278
2020-03-22,916.3169307446233
